Fighter 1,Fighter 2,Weight class,Winner,Loser,Win decided by,Win Method,Round,Time,Event,Date
Rodrigo Nascimento,Alan Baudot,Heavyweight,Rodrigo Nascimento,Alan Baudot,KO/TKO,Punches,2,89,UFC Fight Night: Makhachev vs. Moises,2021-07-17
Dustin Poirier,Conor McGregor,Lightweight,Dustin Poirier,Conor McGregor,KO/TKO,,1,300,UFC 264: Poirier vs. McGregor 3,2021-07-10
Gilbert Burns,Stephen Thompson,Welterweight,Gilbert Burns,Stephen Thompson,U-DEC,,3,300,UFC 264: Poirier vs. McGregor 3,2021-07-10
Tai Tuivasa,Greg Hardy,Heavyweight,Tai Tuivasa,Greg Hardy,KO/TKO,Punch,1,67,UFC 264: Poirier vs. McGregor 3,2021-07-10
Irene Aldana,Yana Kunitskaya,Women's Bantamweight,Irene Aldana,Yana Kunitskaya,KO/TKO,Punches,1,275,UFC 264: Poirier vs. McGregor 3,2021-07-10
Sean O'Malley,Kris Moutinho,Bantamweight,Sean O'Malley,Kris Moutinho,KO/TKO,Punches,3,273,UFC 264: Poirier vs. McGregor 3,2021-07-10
Max Griffin,Carlos Condit,Welterweight,Max Griffin,Carlos Condit,U-DEC,,3,300,UFC 264: Poirier vs. McGregor 3,2021-07-10
Michel Pereira,Niko Price,Welterweight,Michel Pereira,Niko Price,U-DEC,,3,300,UFC 264: Poirier vs. McGregor 3,2021-07-10
Ilia Topuria,Ryan Hall,Featherweight,Ilia Topuria,Ryan Hall,KO/TKO,Punches,1,287,UFC 264: Poirier vs. McGregor 3,2021-07-10
Dricus Du Plessis,Trevin Giles,Middleweight,Dricus Du Plessis,Trevin Giles,KO/TKO,Punch,2,101,UFC 264: Poirier vs. McGregor 3,2021-07-10
Jennifer Maia,Jessica Eye,Women's Flyweight,Jennifer Maia,Jessica Eye,U-DEC,,3,300,UFC 264: Poirier vs. McGregor 3,2021-07-10
Brad Tavares,Omari Akhmedov,Middleweight,Brad Tavares,Omari Akhmedov,S-DEC,,3,300,UFC 264: Poirier vs. McGregor 3,2021-07-10
Zhalgas Zhumagulov,Jerome Rivera,Flyweight,Zhalgas Zhumagulov,Jerome Rivera,SUB,Guillotine Choke,1,122,UFC 264: Poirier vs. McGregor 3,2021-07-10
Ciryl Gane,Alexander Volkov,Heavyweight,Ciryl Gane,Alexander Volkov,U-DEC,,5,300,UFC Fight Night: Gane vs. Volkov,2021-06-26
Tanner Boser,Ovince Saint Preux,Heavyweight,Tanner Boser,Ovince Saint Preux,KO/TKO,Punch,2,151,UFC Fight Night: Gane vs. Volkov,2021-06-26
Timur Valiev,Raoni Barcelos,Bantamweight,Timur Valiev,Raoni Barcelos,M-DEC,,3,300,UFC Fight Night: Gane vs. Volkov,2021-06-26
Andre Fili,Daniel Pineda,Featherweight,NO CONTEST,NO CONTEST,CNC,,2,46,UFC Fight Night: Gane vs. Volkov,2021-06-26
Tim Means,Nicolas Dalby,Welterweight,Tim Means,Nicolas Dalby,U-DEC,,3,300,UFC Fight Night: Gane vs. Volkov,2021-06-26
Renato Moicano,Jai Herbert,Lightweight,Renato Moicano,Jai Herbert,SUB,Rear Naked Choke,2,274,UFC Fight Night: Gane vs. Volkov,2021-06-26
Kennedy Nzechukwu,Danilo Marques,Light Heavyweight,Kennedy Nzechukwu,Danilo Marques,KO/TKO,Punches,3,20,UFC Fight Night: Gane vs. Volkov,2021-06-26
Shavkat Rakhmonov,Michel Prazeres,Welterweight,Shavkat Rakhmonov,Michel Prazeres,SUB,Rear Naked Choke,2,130,UFC Fight Night: Gane vs. Volkov,2021-06-26
Jeremiah Wells,Warlley Alves,Welterweight,Jeremiah Wells,Warlley Alves,KO/TKO,Punch,2,30,UFC Fight Night: Gane vs. Volkov,2021-06-26
Marcin Prachnio,Ike Villanueva,Light Heavyweight,Marcin Prachnio,Ike Villanueva,KO/TKO,Kick,2,56,UFC Fight Night: Gane vs. Volkov,2021-06-26
Julia Avila,Julija Stoliarenko,Women's Bantamweight,Julia Avila,Julija Stoliarenko,SUB,Rear Naked Choke,3,259,UFC Fight Night: Gane vs. Volkov,2021-06-26
Charles Rosa,Justin Jaynes,Featherweight,Charles Rosa,Justin Jaynes,S-DEC,,3,300,UFC Fight Night: Gane vs. Volkov,2021-06-26
Damir Hadzovic,Yancy Medeiros,Lightweight,Damir Hadzovic,Yancy Medeiros,U-DEC,,3,300,UFC Fight Night: Gane vs. Volkov,2021-06-26
Chan Sung Jung,Dan Ige,Featherweight,Chan Sung Jung,Dan Ige,U-DEC,,5,300,UFC Fight Night: Jung vs. Ige,2021-06-19
Serghei Spivac,Aleksei Oleinik,Heavyweight,Serghei Spivac,Aleksei Oleinik,U-DEC,,3,300,UFC Fight Night: Jung vs. Ige,2021-06-19
Marlon Vera,Davey Grant,Bantamweight,Marlon Vera,Davey Grant,U-DEC,,3,300,UFC Fight Night: Jung vs. Ige,2021-06-19
SeungWoo Choi,Julian Erosa,Featherweight,SeungWoo Choi,Julian Erosa,KO/TKO,Punch,1,97,UFC Fight Night: Jung vs. Ige,2021-06-19
Bruno Silva,Wellington Turman,Middleweight,Bruno Silva,Wellington Turman,KO/TKO,Punches,1,285,UFC Fight Night: Jung vs. Ige,2021-06-19
Matt Brown,Dhiego Lima,Welterweight,Matt Brown,Dhiego Lima,KO/TKO,Punch,2,182,UFC Fight Night: Jung vs. Ige,2021-06-19
Nicolae Negumereanu,Aleksa Camur,Light Heavyweight,Nicolae Negumereanu,Aleksa Camur,S-DEC,,3,300,UFC Fight Night: Jung vs. Ige,2021-06-19
Virna Jandiroba,Kanako Murata,Women's Strawweight,Virna Jandiroba,Kanako Murata,KO/TKO,,2,300,UFC Fight Night: Jung vs. Ige,2021-06-19
Khaos Williams,Matthew Semelsberger,Welterweight,Khaos Williams,Matthew Semelsberger,U-DEC,,3,300,UFC Fight Night: Jung vs. Ige,2021-06-19
Josh Parisian,Roque Martinez,Heavyweight,Josh Parisian,Roque Martinez,S-DEC,,3,300,UFC Fight Night: Jung vs. Ige,2021-06-19
Ricky Glenn,Joaquim Silva,Lightweight,Ricky Glenn,Joaquim Silva,KO/TKO,Punches,1,37,UFC Fight Night: Jung vs. Ige,2021-06-19
Casey O'Neill,Lara Procopio,Women's Flyweight,Casey O'Neill,Lara Procopio,SUB,Rear Naked Choke,3,174,UFC Fight Night: Jung vs. Ige,2021-06-19
Israel Adesanya,Marvin Vettori,Middleweight,Israel Adesanya,Marvin Vettori,U-DEC,,5,300,UFC 263: Adesanya vs. Vettori 2,2021-06-12
Brandon Moreno,Deiveson Figueiredo,Flyweight,Brandon Moreno,Deiveson Figueiredo,SUB,Rear Naked Choke,3,146,UFC 263: Adesanya vs. Vettori 2,2021-06-12
Leon Edwards,Nate Diaz,Welterweight,Leon Edwards,Nate Diaz,U-DEC,,5,300,UFC 263: Adesanya vs. Vettori 2,2021-06-12
Belal Muhammad,Demian Maia,Welterweight,Belal Muhammad,Demian Maia,U-DEC,,3,300,UFC 263: Adesanya vs. Vettori 2,2021-06-12
Paul Craig,Jamahal Hill,Light Heavyweight,Paul Craig,Jamahal Hill,KO/TKO,Punches,1,119,UFC 263: Adesanya vs. Vettori 2,2021-06-12
Brad Riddell,Drew Dober,Lightweight,Brad Riddell,Drew Dober,U-DEC,,3,300,UFC 263: Adesanya vs. Vettori 2,2021-06-12
Eryk Anders,Darren Stewart,Light Heavyweight,Eryk Anders,Darren Stewart,U-DEC,,3,300,UFC 263: Adesanya vs. Vettori 2,2021-06-12
Lauren Murphy,Joanne Calderwood,Women's Flyweight,Lauren Murphy,Joanne Calderwood,S-DEC,,3,300,UFC 263: Adesanya vs. Vettori 2,2021-06-12
Movsar Evloev,Hakeem Dawodu,Featherweight,Movsar Evloev,Hakeem Dawodu,U-DEC,,3,300,UFC 263: Adesanya vs. Vettori 2,2021-06-12
Pannie Kianzad,Alexis Davis,Women's Bantamweight,Pannie Kianzad,Alexis Davis,U-DEC,,3,300,UFC 263: Adesanya vs. Vettori 2,2021-06-12
Terrance McKinney,Matt Frevola,Lightweight,Terrance McKinney,Matt Frevola,KO/TKO,Punch,1,7,UFC 263: Adesanya vs. Vettori 2,2021-06-12
Steven Peterson,Chase Hooper,Featherweight,Steven Peterson,Chase Hooper,U-DEC,,3,300,UFC 263: Adesanya vs. Vettori 2,2021-06-12
Fares Ziam,Luigi Vendramini,Lightweight,Fares Ziam,Luigi Vendramini,M-DEC,,3,300,UFC 263: Adesanya vs. Vettori 2,2021-06-12
Carlos Felipe,Jake Collier,Heavyweight,Carlos Felipe,Jake Collier,S-DEC,,3,300,UFC 263: Adesanya vs. Vettori 2,2021-06-12
Jairzinho Rozenstruik,Augusto Sakai,Heavyweight,Jairzinho Rozenstruik,Augusto Sakai,KO/TKO,Punches,1,299,UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05
Marcin Tybura,Walt Harris,Heavyweight,Marcin Tybura,Walt Harris,KO/TKO,Punches,1,246,UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05
Roman Dolidze,Laureano Staropoli,Middleweight,Roman Dolidze,Laureano Staropoli,U-DEC,,3,300,UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05
Santiago Ponzinibbio,Miguel Baeza,Welterweight,Santiago Ponzinibbio,Miguel Baeza,U-DEC,,3,300,UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05
Gregory Rodrigues,Dusko Todorovic,Middleweight,Gregory Rodrigues,Dusko Todorovic,U-DEC,,3,300,UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05
Montana De La Rosa,Ariane Lipski,Women's Flyweight,Montana De La Rosa,Ariane Lipski,KO/TKO,Punches,2,267,UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05
Ilir Latifi,Tanner Boser,Heavyweight,Ilir Latifi,Tanner Boser,S-DEC,,3,300,UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05
Muslim Salikhov,Francisco Trinaldo,Welterweight,Muslim Salikhov,Francisco Trinaldo,U-DEC,,3,300,UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05
Kamuela Kirk,Makwan Amirkhani,Featherweight,Kamuela Kirk,Makwan Amirkhani,U-DEC,,3,300,UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05
Alan Patrick,Mason Jones,Lightweight,NO CONTEST,NO CONTEST,CNC,,2,134,UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05
Manon Fiorot,Tabatha Ricci,Women's Flyweight,Manon Fiorot,Tabatha Ricci,KO/TKO,Punches,2,180,UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05
Sean Woodson,Youssef Zalal,Featherweight,Sean Woodson,Youssef Zalal,S-DEC,,3,300,UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05
Claudio Puelles,Jordan Leavitt,Lightweight,Claudio Puelles,Jordan Leavitt,U-DEC,,3,300,UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05
Rob Font,Cody Garbrandt,Bantamweight,Rob Font,Cody Garbrandt,U-DEC,,5,300,UFC Fight Night: Font vs. Garbrandt,2021-05-22
Carla Esparza,Yan Xiaonan,Women's Strawweight,Carla Esparza,Yan Xiaonan,KO/TKO,Punches,2,178,UFC Fight Night: Font vs. Garbrandt,2021-05-22
Jared Vanderaa,Justin Tafa,Heavyweight,Jared Vanderaa,Justin Tafa,U-DEC,,3,300,UFC Fight Night: Font vs. Garbrandt,2021-05-22
Norma Dumont,Felicia Spencer,Women's Featherweight,Norma Dumont,Felicia Spencer,S-DEC,,3,300,UFC Fight Night: Font vs. Garbrandt,2021-05-22
Ricardo Ramos,Bill Algeo,Featherweight,Ricardo Ramos,Bill Algeo,U-DEC,,3,300,UFC Fight Night: Font vs. Garbrandt,2021-05-22
Jack Hermansson,Edmen Shahbazyan,Middleweight,Jack Hermansson,Edmen Shahbazyan,U-DEC,,3,300,UFC Fight Night: Font vs. Garbrandt,2021-05-22
Ben Rothwell,Chris Barnett,Heavyweight,Ben Rothwell,Chris Barnett,SUB,Guillotine Choke,2,127,UFC Fight Night: Font vs. Garbrandt,2021-05-22
Court McGee,Claudio Silva,Welterweight,Court McGee,Claudio Silva,U-DEC,,3,300,UFC Fight Night: Font vs. Garbrandt,2021-05-22
Bruno Silva,Victor Rodriguez,Flyweight,Bruno Silva,Victor Rodriguez,KO/TKO,Punch,1,60,UFC Fight Night: Font vs. Garbrandt,2021-05-22
Josh Culibao,Shayilan Nuerdanbieke,Featherweight,Josh Culibao,Shayilan Nuerdanbieke,U-DEC,,3,300,UFC Fight Night: Font vs. Garbrandt,2021-05-22
David Dvorak,Juancamilo Ronderos,Flyweight,David Dvorak,Juancamilo Ronderos,SUB,Rear Naked Choke,1,138,UFC Fight Night: Font vs. Garbrandt,2021-05-22
Damir Ismagulov,Rafael Alves,Lightweight,Damir Ismagulov,Rafael Alves,U-DEC,,3,300,UFC Fight Night: Font vs. Garbrandt,2021-05-22
Charles Oliveira,Michael Chandler,Lightweight,Charles Oliveira,Michael Chandler,KO/TKO,Punch,2,19,UFC 262: Oliveira vs. Chandler,2021-05-15
Beneil Dariush,Tony Ferguson,Lightweight,Beneil Dariush,Tony Ferguson,U-DEC,,3,300,UFC 262: Oliveira vs. Chandler,2021-05-15
Rogerio Bontorin,Matt Schnell,Bantamweight,Rogerio Bontorin,Matt Schnell,U-DEC,,3,300,UFC 262: Oliveira vs. Chandler,2021-05-15
Katlyn Chookagian,Viviane Araujo,Women's Flyweight,Katlyn Chookagian,Viviane Araujo,U-DEC,,3,300,UFC 262: Oliveira vs. Chandler,2021-05-15
Edson Barboza,Shane Burgos,Featherweight,Edson Barboza,Shane Burgos,KO/TKO,Punch,3,76,UFC 262: Oliveira vs. Chandler,2021-05-15
Andre Muniz,Jacare Souza,Middleweight,Andre Muniz,Jacare Souza,SUB,Armbar,1,239,UFC 262: Oliveira vs. Chandler,2021-05-15
Lando Vannata,Mike Grundy,Featherweight,Lando Vannata,Mike Grundy,S-DEC,,3,300,UFC 262: Oliveira vs. Chandler,2021-05-15
Jordan Wright,Jamie Pickett,Middleweight,Jordan Wright,Jamie Pickett,KO/TKO,Knee,1,64,UFC 262: Oliveira vs. Chandler,2021-05-15
Andrea Lee,Antonina Shevchenko,Women's Flyweight,Andrea Lee,Antonina Shevchenko,SUB,Triangle Armbar,2,292,UFC 262: Oliveira vs. Chandler,2021-05-15
Priscila Cachoeira,Gina Mazany,Women's Flyweight,Priscila Cachoeira,Gina Mazany,KO/TKO,Punches,2,291,UFC 262: Oliveira vs. Chandler,2021-05-15
Tucker Lutz,Kevin Aguilar,Featherweight,Tucker Lutz,Kevin Aguilar,U-DEC,,3,300,UFC 262: Oliveira vs. Chandler,2021-05-15
Christos Giagos,Sean Soriano,Lightweight,Christos Giagos,Sean Soriano,SUB,D'Arce Choke,2,59,UFC 262: Oliveira vs. Chandler,2021-05-15
Marina Rodriguez,Michelle Waterson,Women's Flyweight,Marina Rodriguez,Michelle Waterson,U-DEC,,5,300,UFC Fight Night: Rodriguez vs. Waterson,2021-05-08
Alex Morono,Donald Cerrone,Welterweight,Alex Morono,Donald Cerrone,KO/TKO,Punches,1,280,UFC Fight Night: Rodriguez vs. Waterson,2021-05-08
Neil Magny,Geoff Neal,Welterweight,Neil Magny,Geoff Neal,U-DEC,,3,300,UFC Fight Night: Rodriguez vs. Waterson,2021-05-08
Marcos Rogerio de Lima,Maurice Greene,Heavyweight,Marcos Rogerio de Lima,Maurice Greene,U-DEC,,3,300,UFC Fight Night: Rodriguez vs. Waterson,2021-05-08
Gregor Gillespie,Diego Ferreira,Lightweight,Gregor Gillespie,Diego Ferreira,KO/TKO,Punches,2,291,UFC Fight Night: Rodriguez vs. Waterson,2021-05-08
Phil Hawes,Kyle Daukaus,Middleweight,Phil Hawes,Kyle Daukaus,U-DEC,,3,300,UFC Fight Night: Rodriguez vs. Waterson,2021-05-08
Michael Trizano,Ludovit Klein,Featherweight,Michael Trizano,Ludovit Klein,U-DEC,,3,300,UFC Fight Night: Rodriguez vs. Waterson,2021-05-08
Junyong Park,Tafon Nchukwi,Middleweight,Junyong Park,Tafon Nchukwi,M-DEC,,3,300,UFC Fight Night: Rodriguez vs. Waterson,2021-05-08
Carlston Harris,Christian Aguilera,Welterweight,Carlston Harris,Christian Aguilera,SUB,Anaconda Choke,1,172,UFC Fight Night: Rodriguez vs. Waterson,2021-05-08
Jiri Prochazka,Dominick Reyes,Light Heavyweight,Jiri Prochazka,Dominick Reyes,KO/TKO,Spinning Back Elbow,2,269,UFC Fight Night: Reyes vs. Prochazka,2021-05-01
Giga Chikadze,Cub Swanson,Featherweight,Giga Chikadze,Cub Swanson,KO/TKO,Kick,1,63,UFC Fight Night: Reyes vs. Prochazka,2021-05-01
Ion Cutelaba,Dustin Jacoby,Light Heavyweight,DRAW,DRAW,S-DEC,,3,300,UFC Fight Night: Reyes vs. Prochazka,2021-05-01
Sean Strickland,Krzysztof Jotko,Middleweight,Sean Strickland,Krzysztof Jotko,U-DEC,,3,300,UFC Fight Night: Reyes vs. Prochazka,2021-05-01
Merab Dvalishvili,Cody Stamann,Bantamweight,Merab Dvalishvili,Cody Stamann,U-DEC,,3,300,UFC Fight Night: Reyes vs. Prochazka,2021-05-01
Luana Pinheiro,Randa Markos,Women's Strawweight,Luana Pinheiro,Randa Markos,DQ,,1,256,UFC Fight Night: Reyes vs. Prochazka,2021-05-01
TJ Brown,Kai Kamaka,Featherweight,TJ Brown,Kai Kamaka,S-DEC,,3,300,UFC Fight Night: Reyes vs. Prochazka,2021-05-01
Luana Carolina,Poliana Botelho,Women's Flyweight,Luana Carolina,Poliana Botelho,S-DEC,,3,300,UFC Fight Night: Reyes vs. Prochazka,2021-05-01
Loma Lookboonmee,Sam Hughes,Women's Strawweight,Loma Lookboonmee,Sam Hughes,U-DEC,,3,300,UFC Fight Night: Reyes vs. Prochazka,2021-05-01
Andreas Michailidis,KB Bhullar,Middleweight,Andreas Michailidis,KB Bhullar,U-DEC,,3,300,UFC Fight Night: Reyes vs. Prochazka,2021-05-01
Felipe Colares,Luke Sanders,Featherweight,Felipe Colares,Luke Sanders,U-DEC,,3,300,UFC Fight Night: Reyes vs. Prochazka,2021-05-01
Kamaru Usman,Jorge Masvidal,Welterweight,Kamaru Usman,Jorge Masvidal,KO/TKO,Punch,2,62,UFC 261: Usman vs. Masvidal 2,2021-04-24
Rose Namajunas,Zhang Weili,Women's Strawweight,Rose Namajunas,Zhang Weili,KO/TKO,Kick,1,78,UFC 261: Usman vs. Masvidal 2,2021-04-24
Valentina Shevchenko,Jessica Andrade,Women's Flyweight,Valentina Shevchenko,Jessica Andrade,KO/TKO,Elbows,2,199,UFC 261: Usman vs. Masvidal 2,2021-04-24
Uriah Hall,Chris Weidman,Middleweight,Uriah Hall,Chris Weidman,KO/TKO,,1,17,UFC 261: Usman vs. Masvidal 2,2021-04-24
Anthony Smith,Jimmy Crute,Light Heavyweight,Anthony Smith,Jimmy Crute,KO/TKO,,1,300,UFC 261: Usman vs. Masvidal 2,2021-04-24
Randy Brown,Alex Oliveira,Welterweight,Randy Brown,Alex Oliveira,SUB,Rear Naked Choke,1,170,UFC 261: Usman vs. Masvidal 2,2021-04-24
Dwight Grant,Stefan Sekulic,Welterweight,Dwight Grant,Stefan Sekulic,S-DEC,,3,300,UFC 261: Usman vs. Masvidal 2,2021-04-24
Brendan Allen,Karl Roberson,Middleweight,Brendan Allen,Karl Roberson,SUB,Ankle Lock,1,295,UFC 261: Usman vs. Masvidal 2,2021-04-24
Pat Sabatini,Tristan Connelly,Featherweight,Pat Sabatini,Tristan Connelly,U-DEC,,3,300,UFC 261: Usman vs. Masvidal 2,2021-04-24
Danaa Batgerel,Kevin Natividad,Bantamweight,Danaa Batgerel,Kevin Natividad,KO/TKO,Punch,1,50,UFC 261: Usman vs. Masvidal 2,2021-04-24
Kazula Vargas,Rong Zhu,Lightweight,Kazula Vargas,Rong Zhu,U-DEC,,3,300,UFC 261: Usman vs. Masvidal 2,2021-04-24
Jeff Molina,Aoriqileng,Flyweight,Jeff Molina,Aoriqileng,U-DEC,,3,300,UFC 261: Usman vs. Masvidal 2,2021-04-24
Ariane Carnelossi,Na Liang,Women's Strawweight,Ariane Carnelossi,Na Liang,KO/TKO,Punches,2,88,UFC 261: Usman vs. Masvidal 2,2021-04-24
Robert Whittaker,Kelvin Gastelum,Middleweight,Robert Whittaker,Kelvin Gastelum,U-DEC,,5,300,UFC Fight Night: Whittaker vs. Gastelum,2021-04-17
Andrei Arlovski,Chase Sherman,Heavyweight,Andrei Arlovski,Chase Sherman,U-DEC,,3,300,UFC Fight Night: Whittaker vs. Gastelum,2021-04-17
Jacob Malkoun,Abdul Razak Alhassan,Middleweight,Jacob Malkoun,Abdul Razak Alhassan,U-DEC,,3,300,UFC Fight Night: Whittaker vs. Gastelum,2021-04-17
Tracy Cortez,Justine Kish,Women's Flyweight,Tracy Cortez,Justine Kish,S-DEC,,3,300,UFC Fight Night: Whittaker vs. Gastelum,2021-04-17
Luis Pena,Alexander Munoz,Lightweight,Luis Pena,Alexander Munoz,S-DEC,,3,300,UFC Fight Night: Whittaker vs. Gastelum,2021-04-17
Alexandr Romanov,Juan Espino,Heavyweight,Alexandr Romanov,Juan Espino,S-DEC,,3,65,UFC Fight Night: Whittaker vs. Gastelum,2021-04-17
Jessica Penne,Loopy Godinez,Women's Strawweight,Jessica Penne,Loopy Godinez,S-DEC,,3,300,UFC Fight Night: Whittaker vs. Gastelum,2021-04-17
Gerald Meerschaert,Bartosz Fabinski,Middleweight,Gerald Meerschaert,Bartosz Fabinski,SUB,Guillotine Choke,1,120,UFC Fight Night: Whittaker vs. Gastelum,2021-04-17
Austin Hubbard,Dakota Bush,Lightweight,Austin Hubbard,Dakota Bush,U-DEC,,3,300,UFC Fight Night: Whittaker vs. Gastelum,2021-04-17
Tony Gravely,Anthony Birchak,Bantamweight,Tony Gravely,Anthony Birchak,KO/TKO,Punch,2,91,UFC Fight Night: Whittaker vs. Gastelum,2021-04-17
Marvin Vettori,Kevin Holland,Middleweight,Marvin Vettori,Kevin Holland,U-DEC,,5,300,UFC Fight Night: Vettori vs. Holland,2021-04-10
Arnold Allen,Sodiq Yusuff,Featherweight,Arnold Allen,Sodiq Yusuff,U-DEC,,3,300,UFC Fight Night: Vettori vs. Holland,2021-04-10
Julian Marquez,Sam Alvey,Middleweight,Julian Marquez,Sam Alvey,SUB,Rear Naked Choke,2,127,UFC Fight Night: Vettori vs. Holland,2021-04-10
Mackenzie Dern,Nina Nunes,Women's Strawweight,Mackenzie Dern,Nina Nunes,SUB,Armbar,1,288,UFC Fight Night: Vettori vs. Holland,2021-04-10
Daniel Rodriguez,Mike Perry,Welterweight,Daniel Rodriguez,Mike Perry,U-DEC,,3,300,UFC Fight Night: Vettori vs. Holland,2021-04-10
Joe Solecki,Jim Miller,Lightweight,Joe Solecki,Jim Miller,U-DEC,,3,300,UFC Fight Night: Vettori vs. Holland,2021-04-10
Mateusz Gamrot,Scott Holtzman,Lightweight,Mateusz Gamrot,Scott Holtzman,KO/TKO,Punches,2,82,UFC Fight Night: Vettori vs. Holland,2021-04-10
John Makdessi,Ignacio Bahamondes,Lightweight,John Makdessi,Ignacio Bahamondes,S-DEC,,3,300,UFC Fight Night: Vettori vs. Holland,2021-04-10
Jarjis Danho,Yorgan De Castro,Heavyweight,Jarjis Danho,Yorgan De Castro,KO/TKO,Punch,1,182,UFC Fight Night: Vettori vs. Holland,2021-04-10
Jack Shore,Hunter Azure,Bantamweight,Jack Shore,Hunter Azure,S-DEC,,3,300,UFC Fight Night: Vettori vs. Holland,2021-04-10
Luis Saldana,Jordan Griffin,Featherweight,Luis Saldana,Jordan Griffin,U-DEC,,3,300,UFC Fight Night: Vettori vs. Holland,2021-04-10
Da-Un Jung,William Knight,Light Heavyweight,Da-Un Jung,William Knight,U-DEC,,3,300,UFC Fight Night: Vettori vs. Holland,2021-04-10
Impa Kasanganay,Sasha Palatnikov,Welterweight,Impa Kasanganay,Sasha Palatnikov,SUB,Rear Naked Choke,2,26,UFC Fight Night: Vettori vs. Holland,2021-04-10
Francis Ngannou,Stipe Miocic,Heavyweight,Francis Ngannou,Stipe Miocic,KO/TKO,Punch,2,52,UFC 260: Miocic vs. Ngannou,2021-03-27
Vicente Luque,Tyron Woodley,Welterweight,Vicente Luque,Tyron Woodley,SUB,D'Arce Choke,1,236,UFC 260: Miocic vs. Ngannou,2021-03-27
Sean O'Malley,Thomas Almeida,Bantamweight,Sean O'Malley,Thomas Almeida,KO/TKO,Punch,3,232,UFC 260: Miocic vs. Ngannou,2021-03-27
Miranda Maverick,Gillian Robertson,Women's Flyweight,Miranda Maverick,Gillian Robertson,U-DEC,,3,300,UFC 260: Miocic vs. Ngannou,2021-03-27
Jamie Mullarkey,Khama Worthy,Lightweight,Jamie Mullarkey,Khama Worthy,KO/TKO,Punch,1,46,UFC 260: Miocic vs. Ngannou,2021-03-27
Alonzo Menifield,Fabio Cherant,Light Heavyweight,Alonzo Menifield,Fabio Cherant,SUB,Von Flue Choke,1,71,UFC 260: Miocic vs. Ngannou,2021-03-27
Abubakar Nurmagomedov,Jared Gooden,Welterweight,Abubakar Nurmagomedov,Jared Gooden,U-DEC,,3,300,UFC 260: Miocic vs. Ngannou,2021-03-27
Michal Oleksiejczuk,Modestas Bukauskas,Light Heavyweight,Michal Oleksiejczuk,Modestas Bukauskas,S-DEC,,3,300,UFC 260: Miocic vs. Ngannou,2021-03-27
Omar Morales,Shane Young,Featherweight,Omar Morales,Shane Young,U-DEC,,3,300,UFC 260: Miocic vs. Ngannou,2021-03-27
Marc-Andre Barriault,Abu Azaitar,Middleweight,Marc-Andre Barriault,Abu Azaitar,KO/TKO,Punches,3,296,UFC 260: Miocic vs. Ngannou,2021-03-27
Derek Brunson,Kevin Holland,Middleweight,Derek Brunson,Kevin Holland,U-DEC,,5,300,UFC Fight Night: Brunson vs. Holland,2021-03-20
Max Griffin,Song Kenan,Welterweight,Max Griffin,Song Kenan,KO/TKO,Punch,1,140,UFC Fight Night: Brunson vs. Holland,2021-03-20
Montserrat Conejo,Cheyanne Buys,Women's Strawweight,Montserrat Conejo,Cheyanne Buys,U-DEC,,3,300,UFC Fight Night: Brunson vs. Holland,2021-03-20
Adrian Yanez,Gustavo Lopez,Bantamweight,Adrian Yanez,Gustavo Lopez,KO/TKO,Punch,3,27,UFC Fight Night: Brunson vs. Holland,2021-03-20
Tai Tuivasa,Harry Hunsucker,Heavyweight,Tai Tuivasa,Harry Hunsucker,KO/TKO,Punches,1,49,UFC Fight Night: Brunson vs. Holland,2021-03-20
Macy Chiasson,Marion Reneau,Women's Bantamweight,Macy Chiasson,Marion Reneau,U-DEC,,3,300,UFC Fight Night: Brunson vs. Holland,2021-03-20
Grant Dawson,Leonardo Santos,Lightweight,Grant Dawson,Leonardo Santos,KO/TKO,Punches,3,299,UFC Fight Night: Brunson vs. Holland,2021-03-20
Trevin Giles,Roman Dolidze,Middleweight,Trevin Giles,Roman Dolidze,U-DEC,,3,300,UFC Fight Night: Brunson vs. Holland,2021-03-20
Montel Jackson,Jesse Strader,Bantamweight,Montel Jackson,Jesse Strader,KO/TKO,Punch,1,118,UFC Fight Night: Brunson vs. Holland,2021-03-20
Bruno Silva,JP Buys,Flyweight,Bruno Silva,JP Buys,KO/TKO,Punch,2,176,UFC Fight Night: Brunson vs. Holland,2021-03-20
Leon Edwards,Belal Muhammad,Welterweight,NO CONTEST,NO CONTEST,CNC,,2,18,UFC Fight Night: Edwards vs. Muhammad,2021-03-13
Ryan Spann,Misha Cirkunov,Light Heavyweight,Ryan Spann,Misha Cirkunov,KO/TKO,Punches,1,71,UFC Fight Night: Edwards vs. Muhammad,2021-03-13
