Fighter 1,Fighter 2,Weight class,Winner,Loser,Win decided by,Win Method,Round,Time,Event,Date
Ciryl Gane,Derrick Lewis,Heavyweight,Ciryl Gane,Derrick Lewis,KO/TKO,Punches,3,251,UFC 265: Lewis vs. Gane,2021-08-07
Jose Aldo,Pedro Munhoz,Bantamweight,Jose Aldo,Pedro Munhoz,U-DEC,,3,300,UFC 265: Lewis vs. Gane,2021-08-07
Vicente Luque,Michael Chiesa,Welterweight,Vicente Luque,Michael Chiesa,SUB,D'Arce Choke,1,205,UFC 265: Lewis vs. Gane,2021-08-07
Tecia Torres,Angela Hill,Women's Strawweight,Tecia Torres,Angela Hill,U-DEC,,3,300,UFC 265: Lewis vs. Gane,2021-08-07
Song Yadong,Casey Kenney,Bantamweight,Song Yadong,Casey Kenney,S-DEC,,3,300,UFC 265: Lewis vs. Gane,2021-08-07
Rafael Fiziev,Bobby Green,Lightweight,Rafael Fiziev,Bobby Green,U-DEC,,3,300,UFC 265: Lewis vs. Gane,2021-08-07
Vince Morales,Drako Rodriguez,Bantamweight,Vince Morales,Drako Rodriguez,U-DEC,,3,300,UFC 265: Lewis vs. Gane,2021-08-07
Alonzo Menifield,Ed Herman,Light Heavyweight,Alonzo Menifield,Ed Herman,U-DEC,,3,300,UFC 265: Lewis vs. Gane,2021-08-07
Jessica Penne,Karolina Kowalkiewicz,Women's Strawweight,Jessica Penne,Karolina Kowalkiewicz,SUB,Armbar,1,272,UFC 265: Lewis vs. Gane,2021-08-07
Manel Kape,Ode Osbourne,Flyweight,Manel Kape,Ode Osbourne,KO/TKO,Flying Knee,1,284,UFC 265: Lewis vs. Gane,2021-08-07
Miles Johns,Anderson Dos Santos,Bantamweight,Miles Johns,Anderson Dos Santos,KO/TKO,Punch,3,76,UFC 265: Lewis vs. Gane,2021-08-07
Melissa Gatto,Victoria Leonardo,Women's Flyweight,Melissa Gatto,Victoria Leonardo,KO/TKO,,2,300,UFC 265: Lewis vs. Gane,2021-08-07
Johnny Munoz,Jamey Simmons,Bantamweight,Johnny Munoz,Jamey Simmons,SUB,Rear Naked Choke,2,155,UFC 265: Lewis vs. Gane,2021-08-07
Sean Strickland,Uriah Hall,Middleweight,Sean Strickland,Uriah Hall,U-DEC,,5,300,UFC Fight Night: Hall vs. Strickland,2021-07-31
Cheyanne Buys,Gloria de Paula,Women's Strawweight,Cheyanne Buys,Gloria de Paula,KO/TKO,Kick,1,60,UFC Fight Night: Hall vs. Strickland,2021-07-31
Jared Gooden,Niklas Stolze,Welterweight,Jared Gooden,Niklas Stolze,KO/TKO,Punch,1,68,UFC Fight Night: Hall vs. Strickland,2021-07-31
Melsik Baghdasaryan,Collin Anglin,Featherweight,Melsik Baghdasaryan,Collin Anglin,KO/TKO,Kick,2,110,UFC Fight Night: Hall vs. Strickland,2021-07-31
Jason Witt,Bryan Barberena,Welterweight,Jason Witt,Bryan Barberena,M-DEC,,3,300,UFC Fight Night: Hall vs. Strickland,2021-07-31
Chris Gruetzemacher,Rafa Garcia,Lightweight,Chris Gruetzemacher,Rafa Garcia,U-DEC,,3,300,UFC Fight Night: Hall vs. Strickland,2021-07-31
Danny Chavez,Kai Kamaka,Featherweight,DRAW,DRAW,M-DEC,,3,300,UFC Fight Night: Hall vs. Strickland,2021-07-31
Jinh Yu Frey,Ashley Yoder,Women's Strawweight,Jinh Yu Frey,Ashley Yoder,U-DEC,,3,300,UFC Fight Night: Hall vs. Strickland,2021-07-31
Zarrukh Adashev,Ryan Benoit,Flyweight,Zarrukh Adashev,Ryan Benoit,U-DEC,,3,300,UFC Fight Night: Hall vs. Strickland,2021-07-31
Phil Rowe,Orion Cosce,Welterweight,Phil Rowe,Orion Cosce,KO/TKO,Punches,2,261,UFC Fight Night: Hall vs. Strickland,2021-07-31
TJ Dillashaw,Cory Sandhagen,Bantamweight,TJ Dillashaw,Cory Sandhagen,S-DEC,,5,300,UFC Fight Night: Sandhagen vs. Dillashaw,2021-07-24
Raulian Paiva,Kyler Phillips,Bantamweight,Raulian Paiva,Kyler Phillips,M-DEC,,3,300,UFC Fight Night: Sandhagen vs. Dillashaw,2021-07-24
Darren Elkins,Darrick Minner,Featherweight,Darren Elkins,Darrick Minner,KO/TKO,Punches,2,228,UFC Fight Night: Sandhagen vs. Dillashaw,2021-07-24
Maycee Barber,Miranda Maverick,Women's Flyweight,Maycee Barber,Miranda Maverick,S-DEC,,3,300,UFC Fight Night: Sandhagen vs. Dillashaw,2021-07-24
Adrian Yanez,Randy Costa,Bantamweight,Adrian Yanez,Randy Costa,KO/TKO,Punches,2,131,UFC Fight Night: Sandhagen vs. Dillashaw,2021-07-24
Brendan Allen,Punahele Soriano,Middleweight,Brendan Allen,Punahele Soriano,U-DEC,,3,300,UFC Fight Night: Sandhagen vs. Dillashaw,2021-07-24
Nassourdine Imavov,Ian Heinisch,Middleweight,Nassourdine Imavov,Ian Heinisch,KO/TKO,Punches,2,189,UFC Fight Night: Sandhagen vs. Dillashaw,2021-07-24
Mickey Gall,Jordan Williams,Welterweight,Mickey Gall,Jordan Williams,SUB,Rear Naked Choke,1,177,UFC Fight Night: Sandhagen vs. Dillashaw,2021-07-24
Julio Arce,Andre Ewell,Bantamweight,Julio Arce,Andre Ewell,KO/TKO,Punches,2,225,UFC Fight Night: Sandhagen vs. Dillashaw,2021-07-24
Sijara Eubanks,Elise Reed,Women's Flyweight,Sijara Eubanks,Elise Reed,KO/TKO,Punches,1,229,UFC Fight Night: Sandhagen vs. Dillashaw,2021-07-24
