Event,Date,Weight class,Winner,Loser,Win decided by,Win Method,Round,Time,Fighter 1,Height F_1,Weight F_1,Reach F_1,Stance F_1,Wins F_1,Losses F_1,Draws F_1,DOB F_1,KD F_1,Sig. str. landed F_1,Sig. str. thrown F_1,Sig. str. % F_1,Total str. landed F_1,Total str. thrown F_1,Td completed F_1,Td attempted F_1,Td % F_1,Sub. att F_1,Rev. F_1,Ctrl F_1,Head landed F_1,Head thrown F_1,Body landed F_1,Body thrown F_1,Leg landed F_1,Leg thrown F_1,Distance landed F_1,Distance thrown F_1,Clinch landed F_1,Clinch thrown F_1,Ground landed F_1,Ground thrown F_1,Fighter 2,Height F_2,Weight F_2,Reach F_2,Stance F_2,Wins F_2,Losses F_2,Draws F_2,DOB F_2,KD F_2,Sig. str. landed F_2,Sig. str. thrown F_2,Sig. str. % F_2,Total str. landed F_2,Total str. thrown F_2,Td completed F_2,Td attempted F_2,Td % F_2,Sub. att F_2,Rev. F_2,Ctrl F_2,Head landed F_2,Head thrown F_2,Body landed F_2,Body thrown F_2,Leg landed F_2,Leg thrown F_2,Distance landed F_2,Distance thrown F_2,Clinch landed F_2,Clinch thrown F_2,Ground landed F_2,Ground thrown F_2
UFC Fight Night: Ladd vs. Dumont,2021-10-16,Lightweight,Jim Miller,Erick Gonzalez,KO/TKO,Punch,2,14,Jim Miller,68,155,71,Southpaw,33,16,0,1983-08-30,1,32,48,0.66,43,60,1,2,0.5,0,0,115,25,41,4,4,3,3,18,30,8,10,6,8,Erick Gonzalez,71,155,75,Orthodox,14,6,0,1992-01-20,0,14,37,0.37,22,45,1,2,0.5,0,0,62,10,30,3,5,1,2,11,33,2,2,1,2
UFC Fight Night: Ladd vs. Dumont,2021-10-16,Women's Flyweight,Manon Fiorot,Mayra Bueno Silva,Decision,Unanimous Decision,3,300,Manon Fiorot,67,125,65,Orthodox,8,1,0,1990-02-17,0,91,267,0.34,112,291,2,6,0.33,0,0,245,47,218,37,42,7,7,79,245,4,8,8,14,Mayra Bueno Silva,66,125,66,Orthodox,7,2,1,1991-08-22,0,48,111,0.43,92,156,0,0,0.0,0,0,4,13,55,21,32,14,24,39,100,7,9,2,2
UFC Fight Night: Ladd vs. Dumont,2021-10-16,Featherweight,Nate Landwehr,Ludovit Klein,SUB,Anaconda Choke,3,142,Nate Landwehr,69,145,72,Orthodox,15,4,0,1988-06-06,0,71,130,0.54,103,163,1,2,0.5,2,0,226,41,85,18,30,12,15,45,93,26,37,0,0,Ludovit Klein,67,145,72,Southpaw,17,4,0,1995-02-22,0,42,85,0.49,44,87,0,2,0.0,0,0,32,20,55,18,25,4,5,39,80,3,5,0,0
UFC Fight Night: Ladd vs. Dumont,2021-10-16,Middleweight,Bruno Silva,Andrew Sanchez,KO/TKO,Punch,3,155,Bruno Silva,72,185,74,Orthodox,21,6,0,1989-07-13,0,70,123,0.56,100,155,0,1,0.0,0,0,15,47,96,21,24,2,3,55,102,10,12,5,9,Andrew Sanchez,73,185,74,Orthodox,13,7,0,1988-04-08,0,33,53,0.62,86,117,7,12,0.58,0,0,473,26,43,6,9,1,1,26,46,2,2,5,5
UFC Fight Night: Ladd vs. Dumont,2021-10-16,Welterweight,Danny Roberts,Ramazan Emeev,Decision,Split Decision,3,300,Danny Roberts,73,170,74,Southpaw,18,5,0,1987-07-14,0,34,94,0.36,42,102,1,3,0.33,0,0,158,17,71,16,21,1,2,14,64,20,29,0,1,Ramazan Emeev,70,170,76,Southpaw,20,5,0,1987-05-23,0,40,79,0.5,67,112,2,7,0.28,1,0,177,32,68,8,11,0,0,28,65,11,13,1,1
UFC Fight Night: Ladd vs. Dumont,2021-10-16,Women's Flyweight,Luana Carolina,Loopy Godinez,Decision,Unanimous Decision,3,300,Luana Carolina,66,125,69,Orthodox,8,2,0,1993-06-11,0,53,107,0.49,86,141,0,0,0.0,0,0,52,24,70,18,23,11,14,37,86,16,21,0,0,Loopy Godinez,62,125,61,Orthodox,6,2,0,1993-09-06,0,23,54,0.42,45,76,2,15,0.13,0,0,457,16,42,4,7,3,5,17,43,2,7,4,4
UFC Fight Night: Ladd vs. Dumont,2021-10-16,Bantamweight,Danaa Batgerel,Brandon Davis,KO/TKO,Punch,1,121,Danaa Batgerel,67,135,70,Orthodox,10,2,0,1989-07-04,1,22,51,0.43,22,51,0,0,0.0,0,0,5,20,45,1,3,1,3,20,43,0,2,2,6,Brandon Davis,70,135,72,Orthodox,10,9,0,1990-05-08,0,7,27,0.25,7,27,0,0,0.0,0,0,0,4,22,1,3,2,2,7,27,0,0,0,0
UFC Fight Night: Ladd vs. Dumont,2021-10-16,Women's Strawweight,Ariane Carnelossi,Istela Nunes,SUB,Rear Naked Choke,3,177,Ariane Carnelossi,62,115,61,Orthodox,14,2,0,1992-11-17,0,36,108,0.33,76,158,5,7,0.71,1,0,424,33,103,2,4,1,1,33,100,3,8,0,0,Istela Nunes,64,115,66,Orthodox,7,2,0,1992-07-23,0,62,119,0.52,98,156,0,0,0.0,0,0,0,37,88,16,22,9,9,54,109,8,10,0,0
UFC Fight Night: Dern vs. Rodriguez,2021-10-09,Women's Strawweight,Marina Rodriguez,Mackenzie Dern,Decision,Unanimous Decision,5,300,Marina Rodriguez,66,115,65,Orthodox,15,1,2,1987-04-29,0,144,279,0.51,148,284,0,0,0.0,1,0,10,72,186,39,58,33,35,124,257,20,22,0,0,Mackenzie Dern,64,115,63,Orthodox,11,2,0,1993-03-24,0,49,174,0.28,80,209,1,8,0.12,1,1,441,41,158,4,10,4,6,36,155,1,3,12,16
UFC Fight Night: Dern vs. Rodriguez,2021-10-09,Welterweight,Randy Brown,Jared Gooden,Decision,Unanimous Decision,3,300,Randy Brown,75,170,78,Orthodox,14,4,0,1990-07-08,0,115,235,0.48,117,237,0,1,0.0,0,0,6,81,196,25,29,9,10,109,227,5,7,1,1,Jared Gooden,72,170,77,Orthodox,18,7,0,1993-12-05,0,81,156,0.51,87,162,0,0,0.0,0,0,44,19,76,27,36,35,44,78,151,3,3,0,2
